HALTER_ID,"Age, Guardian","Gender, Guardian",City District,Primary Breed,"Year of Birth, Dog","Sex, Dog",Dog Colour
126,51-60,m,9,Welsh Terrier,2011,w,Black/Brown
171,61-70,m,3,Berner Sennenhund,2009,m,tricolor
574,61-70,w,2,Cairn Terrier,2002,w,brindle
695,41-50,m,6,Labrador Retriever,2012,w,Brown
893,61-70,w,7,Mittelschnauzer,2010,w,Black
1177,51-60,m,10,Shih Tzu,2011,m,Black/White
4004,61-70,w,3,Dackel,2010,m,Brown
4050,41-50,w,11,Bichon frisé,2012,m,White
4155,61-70,w,9,Zwergdackel,2002,m,Black/Grey
4215,41-50,w,8,Border Collie,2001,m,Black
4215,41-50,w,8,Bergamasker,2004,w,Black
4215,41-50,w,8,Bergamasker,2001,w,Grey/Brown
4239,61-70,w,10,Pinscher,2013,w,Brown/Black
4261,71-80,w,7,Labrador Retriever,2012,w,beige
4281,61-70,w,9,Chihuahua,2014,w,Black/White/Brown
4281,61-70,w,9,Chihuahua,2011,w,Bright Brown
4362,61-70,w,7,West Highland White Terrier,2002,m,White
4726,51-60,m,5,Gold en Retriever,2013,w,creme
4726,51-60,m,5,True klein,2007,m,Black
4786,41-50,m,3,Weimaraner,2013,w,Silver
4801,51-60,m,4,Tibetan Spaniel,2013,w,Black/Brown
4880,51-60,m,5,Leonberger,2011,m,Gold Brown
4889,51-60,m,8,Shiba Inu,2003,w,RedBrown
5088,51-60,m,7,Labrador Retriever,2014,w,Black
5113,61-70,m,11,Beagle,2010,w,tricolor
5225,61-70,m,3,Lagotto Romagnolo,2007,m,Brown
5227,61-70,m,10,Border Terrier,2011,w,tricolor
5348,61-70,m,7,Magyar Viszla,2005,w,Yellow
5361,61-70,m,7,Prager Rattler,2000,w,Black/Brown
5406,51-60,m,6,Französische Bulldogge,2013,m,White/Black
6071,61-70,m,3,Cocker Spaniel,2014,m,Black
6103,51-60,w,4,ZwerGreyhaardackel,2009,w,Red
6314,61-70,m,10,Jack Russel Terrier,2005,w,tricolor
6321,51-60,w,8,Mops,2011,m,beige
6364,61-70,m,,Appenzeller,2013,m,tricolor
6469,41-50,m,11,Mops,2011,m,beige
6594,51-60,m,7,Staffordshire Bull Terrier,2005,w,Mahogany/White
6600,51-60,m,6,True klein,2004,m,Brown
6617,61-70,w,12,Grosspudel,2012,w,White
6640,51-60,m,8,Englische Bulldogge,2011,m,Brown/White
12349,51-60,m,4,English Springer Spaniel,2005,m,Brown/White
12371,51-60,w,2,Malteser,2001,w,White
12409,61-70,m,9,True klein,2008,w,White/Black/Brown
13119,51-60,m,10,Dobermann,2006,w,Brown/Red
13140,51-60,m,3,Jack Russel Terrier,2002,w,tricolor
13193,51-60,m,11,Langhaardackel,2005,w,Bright Brown
14362,61-70,m,7,Zwergdachshund,2004,w,Wild Boar Coloured
14387,61-70,m,5,Zwergpinscher,2015,m,Black/Brown
14550,71-80,m,12,Biewer Yorkshire Terrier,2015,w,tricolor
14693,41-50,m,11,Chihuahua,2007,w,White/Grey
15456,41-50,m,2,Chihuahua,2010,m,Black
15490,61-70,m,9,Parson Jack Russell Terrier,2015,m,White/Blue
18020,51-60,m,5,Labrador Retriever,2011,w,Black
18360,31-40,w,3,Husky,2010,w,White
18805,41-50,w,6,Jack Russel Terrier,2008,m,tricolor
19004,51-60,m,5,Malteser,2014,m,White
19141,61-70,m,4,Bolonka Zwetna,2012,m,Black
19652,51-60,w,2,True klein,2007,w,Brown
19839,51-60,m,2,Labrador Retriever,2009,w,Black
20016,81-90,m,6,Kleinspitz,2011,m,Black/Brown/White
20483,61-70,m,12,Terrier,2002,m,black/tan
20510,41-50,m,9,Berger blanc Suisse,2006,m,White
20762,51-60,m,4,Zwergpudel,2012,m,apricot
21002,61-70,m,7,True gross,2011,m,creme
21270,41-50,m,8,Grosspudel,2012,m,Brown
21393,51-60,m,2,Französische Bulldogge,2012,m,blue
21828,71-80,w,7,Spitz,2013,m,White/beige
21865,61-70,m,6,Foxterrier,2005,m,tricolor
22186,41-50,m,8,Labrador Retriever,2009,m,Black
22378,51-60,m,7,Kooiker,2010,w,White/orange
22479,51-60,m,7,True klein,2001,w,Grey Brindle
22950,51-60,w,11,Mittelpudel,2013,w,Black
22956,41-50,m,10,Cocker Spaniel,2014,m,orange Dull Grey
23054,61-70,w,10,Cairn Terrier,2011,m,Red/beige
23408,31-40,m,12,Yorkshire Terrier,2011,w,black/tan
23493,61-70,m,11,Boxer,2013,m,Brown/White
23590,61-70,w,9,Pinscher,2012,w,Black
23889,61-70,w,4,Pudel,2012,m,Brown
24014,51-60,w,12,Yorkshire Terrier,2007,w,blue/tan
24242,41-50,w,11,Belgischer Schäfer,2003,m,Brown/Black
24246,51-60,m,10,Bergamasker,2001,m,Black/Brown
40684,71-80,m,7,Labrador Retriever,2004,m,blond Colour
54322,71-80,m,3,Lagotto Romagnolo,2009,m,White/orange
54926,81-90,m,2,Jack Russel Terrier,2002,m,tricolor
55176,71-80,m,3,Dobermann,2003,w,Black/Brown
55835,61-70,w,8,Appenzeller Sennenhund,2014,m,tricolor
56084,51-60,w,7,Berner Sennenhund,2007,w,tricolor
60397,51-60,m,7,Deutscher Schäfer,2005,w,Grey/Black
60402,61-70,w,11,Border Terrier,2004,m,Red/Grey/Black
60402,61-70,w,11,True klein,2013,m,Dark Brown
61323,71-80,m,8,Mudi,2010,m,blond Colour
62389,71-80,m,8,Boxer,2014,w,Brindle
62621,71-80,m,11,Papillon,2004,w,Black/White
62628,61-70,m,7,Yorkshire Terrier,2007,w,GreyBrown
63468,81-90,m,7,True klein,2003,m,Brown/White
63704,71-80,m,10,Dachshund,2012,w,Wild Boar Coloured
64202,71-80,w,6,Cairn Terrier,2002,w,beige/Brown/Black
64444,61-70,m,7,True klein,2007,w,Red/White
64718,51-60,m,11,True klein,2004,w,White/Brown
64727,51-60,m,8,Border Collie,2003,m,Black/White
65665,61-70,w,8,Mops,2002,m,Black
65665,61-70,w,8,Mops,2002,m,beige
65681,41-50,m,2,Italienisches Windspiel,2011,m,Blue
65713,61-70,w,2,Lagotto Romagnolo,2005,w,Brown
65732,51-60,m,7,Holländischer Schäfer,2009,m,Brindle
65758,51-60,w,7,Yorkshire Terrier,2007,m,black/tan
65758,51-60,w,7,Welsh Springer Spaniel,2002,w,Red/White
